"1757424731.359875478","d4:01:c3:b3:cf:9f","-66"
"1757424731.367366244","d4:01:c3:b3:cf:9f","-66"
"1757424731.374130412","b8:ea:98:43:44:0c","-56"
"1757424731.388588183","2c:3e:cf:3b:b3:5d","-67"
"1757424731.430692100","b8:ea:98:43:44:0c","-59"
"1757424731.433967908","b8:ea:98:43:44:0c","-59"
"1757424731.437147534","b8:ea:98:43:44:0c","-59"
"1757424731.440482333","84:3d:c6:ec:14:89","-65"
"1757424731.459974716","84:3d:c6:ec:14:89","-64"
"1757424731.475218206","b8:ea:98:43:44:0c","-58"
"1757424731.493068364","2c:3e:cf:3b:b3:5d","-68"
"1757424731.521945814","d4:01:c3:b3:cf:9f","-66"
"1757424731.525200566","d4:01:c3:b3:cf:9f","-66"
"1757424731.558902711","d4:01:c3:b3:cf:9f","-66"
"1757424731.584822004","b8:ea:98:43:44:0c","-58"
"1757424731.588124873","b8:ea:98:43:44:0c","-57"
"1757424731.592117438","b8:ea:98:43:44:0c","-58"
"1757424731.598680711","2c:3e:cf:3b:b3:5d","-67"
"1757424731.610550486","b8:ea:98:43:44:0c","-58"
"1757424731.656292433","b8:ea:98:43:44:0c","-58"
"1757424731.662767851","b8:ea:98:43:44:0c","-58"
"1757424731.702062140","2c:3e:cf:3b:b3:5d","-65"
"1757424731.713516276","b8:ea:98:43:44:0c","-59"
"1757424731.716541600","b8:ea:98:43:44:0c","-59"
"1757424731.747986310","d4:d8:53:2a:36:e5","-53"
"1757424731.748023743","d4:d8:53:2a:36:e5","-64"
"1757424731.766627419","b8:ea:98:43:44:0c","-59"
"1757424731.806556152","2c:3e:cf:3b:b3:5d","-64"
"1757424731.837396435","d4:01:c3:b3:cf:9f","-66"
"1757424731.840916925","b8:ea:98:43:44:0c","-60"
"1757424731.845992045","e6:a4:02:04:5a:c6","-59"
"1757424731.846031833","e6:a4:02:04:5a:c6","-58"
"1757424731.849133596","d4:d8:53:2a:36:e5","-53"
"1757424731.872366626","b8:ea:98:43:44:0c","-60"
"1757424731.908494849","e6:a4:02:04:5a:c6","-61"
"1757424731.911756417","2c:3e:cf:3b:b3:5d","-65"
"1757424731.923472151","b8:ea:98:43:44:0c","-60"
"1757424731.961082675","b8:ea:98:43:44:0c","-60"
"1757424732.000462604","b8:ea:98:43:44:0c","-60"
"1757424732.008777640","d4:01:c3:b3:cf:9f","-67"
"1757424732.012025353","d4:01:c3:b3:cf:9f","-66"
"1757424732.015334360","2c:3e:cf:3b:b3:5d","-66"
"1757424732.049142282","b8:ea:98:43:44:0c","-60"
"1757424732.052414699","b8:ea:98:43:44:0c","-60"
"1757424732.096303990","b8:ea:98:43:44:0c","-60"
"1757424732.119985857","2c:3e:cf:3b:b3:5d","-68"
"1757424732.182915918","b8:ea:98:43:44:0c","-60"
"1757424732.213189921","e6:a4:02:04:5a:c6","-59"
"1757424732.216478754","e6:a4:02:04:5a:c6","-58"
"1757424732.216501514","e6:a4:02:04:5a:c6","-58"
"1757424732.224487994","2c:3e:cf:3b:b3:5d","-66"
"1757424732.233923970","b8:ea:98:43:44:0c","-58"
"1757424732.261806504","b8:ea:98:43:44:0c","-60"
"1757424732.265301599","b8:ea:98:43:44:0c","-59"
"1757424732.275566882","e6:a4:02:04:5a:c6","-61"
"1757424732.305825952","e6:a4:02:04:5a:c6","-59"
"1757424732.309075268","b8:ea:98:43:44:0c","-59"
"1757424732.312364401","e6:a4:02:04:5a:c6","-58"
"1757424732.312386069","e6:a4:02:04:5a:c6","-58"
"1757424732.312401523","e6:a4:02:04:5a:c6","-58"
"1757424732.328975801","2c:3e:cf:3b:b3:5d","-66"
"1757424732.358739406","b8:ea:98:43:44:0c","-59"
"1757424732.362369386","b8:ea:98:43:44:0c","-59"
"1757424732.374916886","e6:a4:02:04:5a:c6","-58"
"1757424732.403730811","b8:ea:98:43:44:0c","-60"
"1757424732.418837516","b8:ea:98:43:44:0c","-59"
"1757424732.418888117","b8:ea:98:43:44:0c","-59"
"1757424732.422079256","b8:ea:98:43:44:0c","-59"
"1757424732.433460061","2c:3e:cf:3b:b3:5d","-64"
"1757424732.454747031","d4:d8:53:2a:36:e5","-53"
"1757424732.454784773","d4:d8:53:2a:36:e5","-65"
"1757424732.458007482","84:3d:c6:ec:14:89","-66"
"1757424732.462401926","b8:ea:98:43:44:0c","-59"
"1757424732.491497457","d4:01:c3:b3:cf:9f","-66"
"1757424732.514772723","e6:a4:02:04:5a:c6","-59"
"1757424732.521276106","e6:a4:02:04:5a:c6","-58"
"1757424732.521297723","e6:a4:02:04:5a:c6","-58"
"1757424732.521313768","e6:a4:02:04:5a:c6","-58"
"1757424732.537930670","2c:3e:cf:3b:b3:5d","-68"
"1757424732.584343579","e6:a4:02:04:5a:c6","-60"
"1757424732.610605485","b8:ea:98:43:44:0c","-60"
"1757424732.613702367","b8:ea:98:43:44:0c","-59"
"1757424732.616979174","b8:ea:98:43:44:0c","-60"
"1757424732.617002374","b8:ea:98:43:44:0c","-58"
"1757424732.617009139","b8:ea:98:43:44:0c","-58"
"1757424732.620417273","b8:ea:98:43:44:0c","-59"
"1757424732.620440514","b8:ea:98:43:44:0c","-59"
"1757424732.620447500","b8:ea:98:43:44:0c","-58"
"1757424732.620453863","b8:ea:98:43:44:0c","-58"
"1757424732.620460598","b8:ea:98:43:44:0c","-58"
"1757424732.620466952","b8:ea:98:43:44:0c","-58"
"1757424732.620473256","b8:ea:98:43:44:0c","-58"
"1757424732.620479630","b8:ea:98:43:44:0c","-59"
"1757424732.620486114","b8:ea:98:43:44:0c","-59"
"1757424732.620492408","b8:ea:98:43:44:0c","-59"
"1757424732.620498702","b8:ea:98:43:44:0c","-58"
"1757424732.620505336","b8:ea:98:43:44:0c","-58"
"1757424732.623780589","d4:d8:53:2a:36:e5","-52"
"1757424732.623803680","d4:d8:53:2a:36:e5","-54"
"1757424732.623810374","d4:d8:53:2a:36:e5","-54"
"1757424732.623817610","b8:ea:98:43:44:0c","-58"
"1757424732.623825087","b8:ea:98:43:44:0c","-58"
"1757424732.623831741","d4:d8:53:2a:36:e5","-54"
"1757424732.623838426","d4:d8:53:2a:36:e5","-51"
"1757424732.623844770","d4:d8:53:2a:36:e5","-54"
"1757424732.623870416","b8:ea:98:43:44:0c","-59"
"1757424732.623877131","b8:ea:98:43:44:0c","-59"
"1757424732.623883565","b8:ea:98:43:44:0c","-59"
"1757424732.623891883","b8:ea:98:43:44:0c","-58"
"1757424732.626998808","d4:d8:53:2a:36:e5","-54"
"1757424732.627021678","d4:d8:53:2a:36:e5","-53"
"1757424732.627028683","d4:d8:53:2a:36:e5","-53"
"1757424732.627035117","d4:d8:53:2a:36:e5","-52"
"1757424732.627042203","b8:ea:98:43:44:0c","-58"
"1757424732.627049749","b8:ea:98:43:44:0c","-58"
"1757424732.627056183","b8:ea:98:43:44:0c","-58"
"1757424732.627063038","d4:d8:53:2a:36:e5","-53"
"1757424732.654029437","b8:ea:98:43:44:0c","-59"
"1757424732.654054372","b8:ea:98:43:44:0c","-57"
"1757424732.657251073","b8:ea:98:43:44:0c","-59"
"1757424732.657274444","b8:ea:98:43:44:0c","-57"
"1757424732.657281289","b8:ea:98:43:44:0c","-58"
"1757424732.657287733","b8:ea:98:43:44:0c","-58"
"1757424732.657294207","b8:ea:98:43:44:0c","-59"
"1757424732.657300551","b8:ea:98:43:44:0c","-58"
"1757424732.657306865","b8:ea:98:43:44:0c","-61"
"1757424732.657313199","b8:ea:98:43:44:0c","-59"
"1757424732.657319963","b8:ea:98:43:44:0c","-60"
"1757424732.657326277","b8:ea:98:43:44:0c","-58"
"1757424732.657332591","b8:ea:98:43:44:0c","-59"
"1757424732.657338885","b8:ea:98:43:44:0c","-60"
"1757424732.657345459","b8:ea:98:43:44:0c","-58"
"1757424732.657352395","b8:ea:98:43:44:0c","-58"
"1757424732.657359019","b8:ea:98:43:44:0c","-58"
"1757424732.657365443","b8:ea:98:43:44:0c","-57"
"1757424732.657372007","b8:ea:98:43:44:0c","-61"
"1757424732.657378341","b8:ea:98:43:44:0c","-58"
"1757424732.657385086","b8:ea:98:43:44:0c","-58"
"1757424732.657391590","b8:ea:98:43:44:0c","-60"
"1757424732.657398345","b8:ea:98:43:44:0c","-57"
"1757424732.657410863","b8:ea:98:43:44:0c","-57"
